ASV	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
ASV_01362	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
ASV_01363	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	Paraphysomonas_sp.
ASV_01364	Eukaryota	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
ASV_01365	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa_triquetra
ASV_01366	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_01367	Eukaryota	Stramenopiles	Opalozoa	MAST-12	MAST-12A	MAST-12A_X	MAST-12A_XX	MAST-12A_XX_sp.
ASV_01368	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Chrysophyceae_Clade-F_X	Chrysophyceae_Clade-F_X_sp.
ASV_01369	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_01370	Eukaryota	Alveolata	Apicomplexa	Coccidiomorphea	NA	NA	NA	NA
ASV_01371	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-1	Dino-Group-II-Clade-1_X	Dino-Group-II-Clade-1_X_sp.
ASV_01372	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	Mantoniella_squamata
ASV_01373	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_01374	Eukaryota	Opisthokonta	Mesomycetozoa	Ichthyosporea	Ichthyosphonida	Abeoformidae_Group_MAIP_2	Abeoformidae_Group_MAIP_2_X	Abeoformidae_Group_MAIP_2_X_sp.
ASV_01375	Eukaryota	NA	NA	NA	NA	NA	NA	NA
ASV_01376	NA	NA	NA	NA	NA	NA	NA	NA
ASV_01377	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	Paraphysomonas_imperforata
ASV_01378	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	Chrysophyceae_Clade-F	Paraphysomonas	NA
ASV_01379	Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastigaceae_X	Crustomastigaceae_X_sp.
ASV_01380	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Navicula	Navicula_sp.
